Name,Color,Price,Image URL,SKU,Activity,Gender
MEN'S LORENTZ XG DOWN JACKET,GREY,"IDR 4,859,250 - IDR 5,115,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/ee3a89d2650fee0191767eb0265fb322.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/f133f32ae2963e049535a15ff27cdb07.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/1becd28bb0c56dd0656d08de053879d6.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/df280e1a4b1a15db2feaf7445212c665.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/2a5b6c328e3eaf5817852614199c9f5e.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/b8ef72a04a8b7c13e96bb34ac437127e.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/297aca8d8aff303f6fe584524d9b465f.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/7ee21eac1c8183c69f97c6cb0e9d17b9.webp']",910007866,Summit,PRIA
WOMEN'S LORENTZ XG DOWN JACKET,GREY,"IDR 4,917,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/ec7af7f1-938c-4999-b2c4-ca9b1ca11f0a.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/08a5cbb8-b0d0-4219-94d4-1b6766062fd9.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/73e7f9b0-f735-40d1-a854-2aa02343baea.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d8981254-760d-4b75-b235-06efff4f2291.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/02968a8e-e221-47dc-8136-273ed3616e3c.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/31b48d94-e6f7-44ab-94ee-4d0f4986bc4f.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/ff7a9cc8-95d9-4efb-8584-c091cc932527.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/c7e660bf-d255-4429-85e4-5435c976263d.jpg']",910007871,Summit,WANITA
MS FINDERS PRO INSULATE JKT,GREY,"IDR 3,134,050 - IDR 3,299,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/5272b343-8cd6-483b-85b4-a2b6a47369b8.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/6b5217a0-aa48-4af7-be74-caf0b0b4650a.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/ededbe27-1e1a-426e-b125-f82f586c12ec.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/0a8c679f-b1d1-4be0-b9d5-8e6755b7d11d.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/09aca1cd-6429-4cc5-8e6a-7aa8387e7cc4.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/90d424db-c56d-4cab-81ac-e5f3d5b38276.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/68ce43b8-e108-4c5c-b056-3831bc184961.jpg']",910008459,Summit,PRIA
MS LORENTZ XG 3L JACKET,ORANGE,"IDR 2,754,050 - IDR 2,899,000","['https://d1yutv2xslo29o.cloudfront.net/product/photo/910008508.ORA1.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d0ece630-137b-4aa8-99cf-fc348eeb183e.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/21b46773-2e17-4ed6-b691-e7fa8aa4ec61.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/92a0b096-d06d-4fe8-9a78-741fe5f6cf33.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/17c930c9-5c7d-49d6-b926-3815099dce90.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/ee9c9e4c-08a0-4471-b41e-605783628bc1.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/3f957465-f0f9-4500-8220-fce3e3896bbb.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/72eb7276-a267-4ec5-b051-1160ecdf449d.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d36e7b39-2b24-42e5-aa07-47d7365e65c4.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/a50d5073-f067-4d75-aa3e-7290343e190a.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/bc1da243-e307-4ee0-947c-6a454bddebd1.jpg']",910008508,Summit,PRIA
WOMEN LORENTZ XG 3L JACKET,BLUE,"IDR 2,849,000",['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008509.webp'],910008509,Summit,WANITA
WOMEN HEATWAVE PRO JACKET,GREY,"IDR 2,599,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008461_GREY_1_ae01.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008461_GREY_2_f255.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008461_GREY_3_cc4a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008461_GREY_4_cc28.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008461_GREY_5_b2a9.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008461_GREY_6_40b8.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008461_GREY_7_a78f.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008461_GREY_8_8828.webp']",910008461,Summit,WANITA
MS FINDERS XT INSULATED JKT,GREY,"IDR 1,804,050 - IDR 1,899,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/910008460_GREY_1_6a6e.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/910008460_GREY_2_3aa0.jpg']",910008460,Summit,PRIA
MENS ZENITH WARMER JACKET,GREY,"IDR 1,566,550 - IDR 1,649,000",['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/f91d5ce0-ce77-4dca-861d-b49298ce352e.webp'],910008463,Summit,PRIA
WOMEN ZENITH WARMER JACKET,ORANGE,"IDR 1,449,000",['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/7f3a43df-a507-43ec-959f-e98db7cb0b22.webp'],910008464,Summit,WANITA
MENS COMBAT TACTICAL SOFTSHELL,KHAKI,"IDR 1,139,050 - IDR 1,199,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/e354e312-b365-4ea2-9bdd-3ed8946a022f.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007838_KHAKI_1_a15f.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/4e70e28a-455f-48cc-b1e7-d92d27c67e13.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/da8d8e53-6459-4937-8130-be6cf3a57dc5.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/90b97eef-75fe-4b3c-96e3-bb8e9b47f95b.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/5b9051d8-6118-427d-9911-78c1eb2d7ec5.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/565f8951-c882-444b-bc9e-79e435b1c624.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/8edd53a3-0e22-4814-9574-5dfef8a475cd.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/b0e4598b-9684-46d4-a8ac-95318128013e.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/f40eea3e-78f7-4971-ae8c-deaa7a113369.webp']",910007838,Tactical,PRIA
