Name,Color,Price,Image URL,SKU,Activity,Gender
JUNIOR MOORLAND FLANNEL SHIRT,PINK,"IDR 209,250 - IDR 279,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/bd87ad2c-5115-4db9-9e7d-204e6966beea.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/90ef471b-586b-478d-8716-f7b39b30678c.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/56da82b1-e0d6-4461-8cbc-31aad6206435.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/86c67afb-3f26-40ec-a33a-accf3e53ec50.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/2ce74645-da63-469f-8656-762a2fef2038.jpg']",910009592,Daily Wear,ANAK
EADLYN SS SHIRT,RED,"IDR 202,300 - IDR 289,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910005514_RED_1_9a1f.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910005514_RED_2_f33c.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910005514_RED_1_1b4a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910005514_RED_3_8cfa.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910005514_RED_4_3502.webp']",910005514,Day Hike,WANITA
WOMEN KAUWELA PRINTED SHIRT,BLUE,"IDR 254,150 - IDR 299,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/fc00d61cf17e9f56efb9ec2909351c75.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/cedd9ca5b1ac11e6a83eec04ecfd8056.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/e29b9c38cb2b0fcb83731e4550fc980c.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/c7f18ddfee58e91f623d20d74e6aa404.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/ee64fd282a81385bab8116ffcd42bd3e.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/9cf6c22d24ea3d13c1f395facc8db818.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/5a7ecd494352755dc272a387e77deca5.webp']",910010211,Daily Wear,WANITA
WOMEN VANASEEKER 2.0 SS SHIRT,DARK GREY,"IDR 299,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007610_DARK%20GREY_1_1f9e.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007610_DARK%20GREY_2_a426.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007610_DARK%20GREY_1_9d24.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007610_DARK%20GREY_3_e8e6.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007610_DARK%20GREY_4_d30d.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007610_DARK%20GREY_5_3dd2.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007610_DARK%20GREY_6_354a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007610_DARK%20GREY_7_2b33.webp']",910007610,Trekking,WANITA
ALABAMA SS SHIRT 1.0,NAVY,"IDR 284,050 - IDR 299,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/865f03975daad3816cd5885d0d817c15.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/6fc33cdf6c49e07868fd459edb43c958.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/bf5d3b8bb07d8b966c302b0a688eaf89.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/9685a2611d134864b0f40b2af83da326.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/6a05604e6d3fe39be557e67364a0588a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/596beeabbee9bb67ef703677ac489875.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/dc1ba0a3b76d31307aed52195239fa7a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/468abebd3c00386fd212ab6dce1dfc0c.webp']",910010286,Day Ride,PRIA
WANDERHAUL SHIRT,OLIVE,"IDR 309,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007570_OLIVE_1_854c.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007570_OLIVE_2_023a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007570_OLIVE_3_db6e.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007570_OLIVE_4_5e06.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007570_OLIVE_5_2adc.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007570_OLIVE_6_871a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007570_OLIVE_7_8d20.webp']",910007570,Travelling,PRIA
GRAVEL 1.0 S/S SHIRT,GREEN,"IDR 293,550 - IDR 309,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/89066744-fe34-4aa8-b78f-1c9f06d8ca2a.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/07f8e9b5-d4f9-4276-92c2-5b8e6068fe57.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/cc481079-964d-40ed-a5e8-2e0e7bec12d6.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/40033ae7-0646-42da-8392-6cda8b1ebc96.jpg']",910004128,Daily Wear,PRIA
Z-OSTRYA SHORT SHIRT,BLACK,"IDR 293,550 - IDR 309,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/579876e1-0055-41b9-b07c-f63ee25702ac.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/7cd8111e-7f6a-427b-b468-16ec95e55371.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d25d49ce-7f6c-49f5-b044-4127854be1b2.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/f25da51e-6995-499a-94db-fe3e2d2f2af1.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/f5c3c146-9fd0-4ef6-89ee-1ee5d3e4c2d5.jpg']",910008648,Daily Wear,PRIA
FLOBAMORA EXP SS,BLACK,"IDR 293,550 - IDR 309,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/e6ef8ada0b365622309268be038b9d38.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/15f31718a96fd2a2369898bc92df4b5a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/7a2503ae0e94078f8d9c4201923a5819.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/f2194a7076a61a17a8bb412be635f6d7.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/e6f7927e467d89b0df4d41628561167c.webp']",910010030,Day Hike,PRIA
WOMEN TRISHA PRINTED SHIRT,GREEN,"IDR 175,450 - IDR 319,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/7d2f85d6-6de3-47c7-8691-806d1cf8d705.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/15267fc4-00a8-403b-bfbd-aab252f57904.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/39ebcf6e-ff8e-4c48-a188-fe01952da7d1.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/a689356e-0641-4b2d-afcf-fec2edc17c64.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d8d5d2e9-3451-441c-b1cf-ea269447b5af.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/53e74ba6-185a-410a-916b-d945e85b7fc9.jpg']",910009466,Daily Wear,WANITA
VROOM SS SHIRT,GREEN,"IDR 180,950 - IDR 329,000",['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910008691I_1.webp'],910008691,Daily Wear,WANITA
COASTICO SHIRT SS,BLUE,"IDR 312,550 - IDR 329,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/c72bccf99a292ece1bee12e7126a5622.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/aa04c745e6c68412ac44b75b6fc96e59.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/0612fca9ec8662964db45c606f18c984.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/7dbb160c4eddeef4e3cbc08d6cce996f.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/d2905f9ddb9ca241c179d22a1a626d77.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/593b4502d4dd694eb80e7eb736209248.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/0fe8d3e7b9a1e1f1ef6701fc8cd4ba7f.webp']",910010183,Daily Wear,PRIA
FLOBAMORA XT,BLACK,"IDR 322,050 - IDR 339,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007304_BLACK_1_436f.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007304_BLACK_2_7d92.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007304_BLACK_8_b8a7.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007304_BLACK_3_2a6d.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007304_BLACK_10_e0db.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007304_BLACK_11_5d38.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007304_BLACK_12_7500.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910007304_BLACK_13_d48b.webp']",910007304,Day Hike,PRIA
MARAMBA SHIRT 2.0,LIGHT GREEN,"IDR 322,050 - IDR 339,000",['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/605aa2df-ac7c-497d-a5d2-82cd797fa7fa.webp'],910006773,Daily Wear,PRIA
Z-OSTRYA LONG SHIRT,WHITE,"IDR 322,050 - IDR 339,000","['https://d1yutv2xslo29o.cloudfront.net/product/photo/910008649W_1.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/4eaf0f3b-c6bd-465b-a332-24fbb853601c.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/681682d7-1a6e-430b-b828-407e8a3fb3f8.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/eb95d870-2d4a-4e9e-9152-0fc4c248f6a7.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/9a7062ff-03e8-4661-b884-78f6c5554816.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/539987c8-c073-4092-9212-5fcd29919a3f.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/b4c54246-f9cc-4b07-9c4e-db53aa3954dc.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d0fc029e-fe6b-4d05-9e2d-4efcb8a41c25.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/ddf211ad-04fc-46f2-a57f-c9ce3718811f.JPG']",910008649,Daily Wear,PRIA
WOMEN SKIDDAW LS SHIRT,GREEN,"IDR 339,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/52766e2e-a865-4faa-8bb8-9d1c8011839b.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/4bf9fb01-22d4-47db-abe9-0967ea573a28.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/4dbd16b4-022d-4e3b-bd03-70b0d55c716d.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/9349e3ab-7eeb-43d0-9aeb-224d787f45be.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/f3f59569-6bdd-4040-b0fb-4b8a5ad5557d.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/32f6ccd1-6f2e-496a-a5f7-36bfe5a3367e.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/88b4d5ff-97b8-4038-9c7f-8a475e626594.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/ecbb318b-2329-4f76-9dc5-100612837126.jpg']",910009612,Day Hike,WANITA
TADULOKA SS F1,OLIVE,"IDR 322,050 - IDR 339,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/072c09ae-1645-4557-9dbe-76206c0b2a9e.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/5532d2af-9778-40cd-a6fb-4f57da841391.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/1db1c62b-d7ee-4ca6-aa20-670b409bc80d.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d09f5209-6b5b-430a-978f-e105312bbaa2.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/ae67206e-b06a-4052-b08f-dc6a103ce1f2.jpg']",910008557,Day Hike,PRIA
NEW MADRAS SHIRT,BROWN,"IDR 322,050 - IDR 339,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/79f22290-5a89-4979-9424-0ae7adc9f012.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/1cd1782b-3a43-4331-92be-69dae6d32a97.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/2fa22905-10ce-4e25-90db-15fa9efcfbb8.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/e3ac0e14-4353-43cf-867c-8f8bdee10660.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/b71b0a2a-3d2c-4493-8d8e-2a35b31d3171.jpg']",910009477,Day Ride,PRIA
ETHNO SHIRT SS,NAVY,"IDR 322,050 - IDR 339,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/686d777f-3fec-4b4e-9b38-cd047078c8eb.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/51f36430-d515-4a77-bdd8-83ebbb2c5393.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/2471c159-efe2-4014-94ae-3fcac519d249.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d8e6a5a4-a22c-4afb-8c50-44e2112c0f29.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/aa0aa63d-ea35-4d1f-8f78-067f11be4698.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/05059bdc-4fd7-47c8-919a-f71824ec04b2.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/5da31eeb-5f1a-43c3-a272-1222ee902a7b.jpg']",910009500,Daily Wear,PRIA
WOMEN VARSHA BOXY SHIRT,OLIVE,"IDR 186,450 - IDR 339,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/aa820305-8a38-4ce1-9323-01f5975c5712.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/5958066e-e1b7-4eca-83a1-4fd8ed3aeacd.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/bfdf59dc-7249-4063-8a61-5a2a0518cf68.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/1c596707-a47b-49a0-8735-1aad3604bec3.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/3ac03e28-945a-46d7-81b4-7d5b0b445e3d.webp']",910009473,Travelling,WANITA
BENTAYAN SS SHIRT,NAVY,"IDR 322,050 - IDR 339,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/2d0b0e90663da50d550c05b82729fe62.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/85519e2ba3c6f283c834c748e5e45c2c.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/2ed89244308540ba07671bd2dffc8ae2.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/00f76564787b1a3f210933935e2e1844.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/8fa00fc9c108b48d1c1f82f86269d9b0.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/4b4272a3a29751d6484e7039b8166a71.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/6ab1b91cac9bd6195ce99acdab56872d.webp']",910008697,Daily Wear,PRIA
WOMEN FORTUNE PRINTED SHIRT,NAVY,"IDR 296,650 - IDR 349,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/1183aa3f-724e-4e07-a217-9fc91fb07c4c.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/149b393b-7c15-4acb-aa84-c30314130ed9.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/271155af-6073-4825-825d-e447b4ea80fe.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d5a37dbf-e7f3-4ee8-a808-c808c2cc460c.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/5136eef8-384c-422f-8a65-245d9a99108a.JPG']",910009619,Daily Wear,WANITA
TAKIAN 1.2 SHIRT SS,OFF WHITE,"IDR 331,550 - IDR 349,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/2ad667e8-dbdd-4436-8f06-c0bfe931687d.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/8b470f76-03ef-4a7f-9678-4f70d9633e12.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/4d9c4285-fc53-4c92-b455-26310a822770.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/5de06ea3-9598-4bc0-b1a7-7d5e027e95a1.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/b3698292-eb54-4b3e-84dc-cf42d79145df.jpg']",910009502,Daily Wear,PRIA
KENALI NEGERI SHIRT SS,GREY,"IDR 244,300 - IDR 349,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/6ece1ca0-688b-4ba9-acc5-a20c7d58badc.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/4fadef57-4e66-4bc8-b71d-0c8b437555b2.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/5294a07b-adfd-4d79-88af-cfad43d9a4b4.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/60ca639e-8a33-4ef9-a09a-048f0d7df472.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/8783b551-a90a-467a-a5b5-19205b63f766.jpg']",910009905,Daily Wear,PRIA
RIVENDELL SHIRT,BLACK,"IDR 226,850 - IDR 349,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/910008089_BLACK_1_49fb.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/2df0668b-2024-48ac-856b-21d193d18099.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/718719ca-f631-4eba-9f97-ce17d247f872.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/8c172f0b-5b5f-40f2-8328-519635e41d64.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/5adf9c92-a270-468b-8840-d9c87a4ee012.jpg']",910008089,Daily Wear,PRIA
