Name,Color,Price,Image URL,SKU,Activity,Gender
Z-ALPACA LITE 10 1.1,TOSCA,"IDR 129,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/db5294397675a64b32aabd22ac56fac9.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/2456f8d525877e2753bd7d83f55812f4.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/dd15544fff9ca48063b66538b7258e6c.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/85a1bc871d57c312519b60a2125b536a.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/0950ed29a02586df43ce5343b02a62f2.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/d2af873066f8bc5c6463a27672c8e4c9.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/65350fa281d107cc8ee98016634720b4.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/9de5882a4cd75fe28bb9297f099aab84.webp']",910010366,Daily Wear,UNISEX
Z-ALPACA LITE 10 1.0,RED,"IDR 129,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/d99fd81f92773684ce09f64a4c4d2e8d.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/c91c0e6d8c71bfa807b6f794d9dad386.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/e9fa29b0100bf58eaf373e5678b52038.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/825b886d060158ccf4b2e6bc2e8e3017.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/8532b77b6fb5f40c11516de3f109dfd0.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/b69ec1fd57d2fb3568f25281ddc2e021.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/6b4167c6dd9adb7a8c8094e24462787b.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/222f1cb1232758a52c625c732bf20e34.webp']",910010365,Daily Wear,UNISEX
ALPACA LITE 10 1.0,RED,"IDR 139,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/910007784_RED_1_13e2.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/910007784_RED_3_4308.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/775ab2b3-ba0d-48ab-afd4-df3d4f2d282d.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/97d8aea6-9982-4819-a8f7-5509148bac91.JPG']",910007784,Daily Wear,PRIA
X-CERVUS 15,BLACK,"IDR 149,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/a65150b0-6c6f-4953-a46f-f4c744e254a4.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/9e8049b9-2f80-4c9f-a7d1-432776886633.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/9bf0c8de-eb6e-4609-a2b3-1726dad525af.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/b97c2571-0d90-4796-af3c-87742c2fb8b4.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/c34d6510-15a6-473c-9e3c-95b55c7b18e4.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/109f86a5-6e34-49dc-9dd7-23eee651f739.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/900f39b0-42ff-4b26-a897-6ed4ca702044.jpg']",910007849,Daily Wear,PRIA
MARMOSET 10 1.0,JET BLACK,"IDR 159,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/9ab77622-a131-44ba-9485-db488aa61bea.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/5543769a-f215-4912-a5e8-b85648a9eae8.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/f8f6d10b-5f0c-49e2-98f2-ed5e166539c5.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/62f827ed-ff35-499f-848d-d753e3e43b81.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/6eb29e82-416e-4173-b7a3-c6f9bbbbc48c.jpg']",910005943,Daily Wear,UNISEX
X-MACACA 12L BS,BLACK,"IDR 179,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/6d6f6222-975f-4d21-abdc-3bf623667c09.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/a4a355cb-0bc6-4ed3-a04e-dfbdaae43d7b.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/adfcb6ea-f9b7-41ec-b859-456331a8ee45.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/e0b4e454-049f-4690-bf77-8da4466f81b9.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/1ce6e01f-3280-4c44-9eff-1633865989f7.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/22137fc1-9c53-44ed-8e3a-92330d5bc62c.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/deb1f3ef-bffb-4580-a8a2-5007c235ff1b.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/b695849b-a779-44df-aa90-454ae679121f.jpg']",910009965,Daily Wear,UNISEX
MARMOSET 16 1FA,NAVY,"IDR 199,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/910005264_NAVY_1_199c.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/910005264_NAVY_2_550a.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/910005264_NAVY_3_aeb8.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/4a237abc-2c56-4bd5-b7de-15d40eea9130.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/1233a94c-f075-40ab-8ac9-458cd2e68d96.JPG', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/ba35aca5-33a8-45ae-a0b6-269bec092eb1.JPG']",910005264,Daily Wear,PRIA
PARAVEL 12,NAVY,"IDR 199,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910006698_NAVY_1_45b3.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910006698_NAVY_2_d325.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910006698_NAVY_3_8115.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910006698_NAVY_4_9a8c.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910006698_NAVY_5_3991.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910006698_NAVY_6_3bd2.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910006698_NAVY_7_8726.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/910006698_NAVY_8_6c93.webp']",910006698,Daily Wear,PRIA
JUNIOR MINIFY PACK 5L 1A,LIGHT GREEN,"IDR 229,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/bcf683e8-47f6-4d2e-a8ad-6d927c2ba3ff.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/bbc75d00-f3e2-482f-a715-7870ec0985ba.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/dee061e8-c35d-4be6-ab3c-747677057f63.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/d41eb693-3a9c-4746-abe3-51472ff08755.jpg', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/photo/b49e7ba0-143f-44d5-a46e-a5d930c53007.jpg']",910009975,Daily Wear,ANAK
STAND PACK 10L 1A,GREY,"IDR 229,000","['https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/a9bac5a19280238137cc22e2b9b68a1e.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/a32cb80213ddb7f7a64ac6242eb60638.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/e9bf587f68ae51c4710cfa55fce9ebad.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/bed3a44be6a869dc3c0ca9c164e1bbc8.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/247a95a2fe1941fd79a3b1489705e6c8.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/4924afb11f46834460c59a30a21abb52.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/cc2af07b984e1d8d13eed802e255ea67.webp', 'https://d1yutv2xslo29o.cloudfront.net/product/variant/media/web/8264866f61d8fc2d78050ace2a17e7ba.webp']",910008951,Daily Wear,PRIA
