Product_Name,Product_Link
KINGFISHER LITE 10 NEW COLOR,https://www.eigeradventure.com/en/d/kingfisher-lite-10-new-color?color=purple
Z-ALPACA LITE 10 1.1,https://www.eigeradventure.com/en/d/z-alpaca-lite-10-1-1?color=tosca
Z-ALPACA LITE 10 1.0,https://www.eigeradventure.com/en/d/z-alpaca-lite-10-1-0?color=red
ALPACA LITE 10 1.0,https://www.eigeradventure.com/en/d/alpaca-lite-10-1-0?color=red
ROADWAY 12L,https://www.eigeradventure.com/en/d/roadway-12l?color=blue
X-CERVUS 15,https://www.eigeradventure.com/en/d/eiger-x-cervus-15-backpack?color=black
MARMOSET 10 1.0,https://www.eigeradventure.com/en/d/marmoset-10-1-0?color=jet+black
X-MACACA 12L BS,https://www.eigeradventure.com/en/d/x-macaca-12l-bs?color=black
MACACA 12 1.1,https://www.eigeradventure.com/en/d/macaca-12-1-1?color=green
MARMOSET 16 1FA,https://www.eigeradventure.com/en/d/marmoset-16-1fa?color=navy
PARAVEL 12,https://www.eigeradventure.com/en/d/eiger-paravel-12-shoes-bag?color=navy
JUNIOR MINIFY PACK 5L 1A,https://www.eigeradventure.com/en/d/jr-minify-pack-5l-1a?color=light+green
STAND PACK 10L 1A,https://www.eigeradventure.com/en/d/stand-pack-10l-1a?color=grey
KINGFISHER LITE 18 NEW COLOR,https://www.eigeradventure.com/en/d/kingfisher-lite-18-new-color?color=navy
URBANWAY 15L,https://www.eigeradventure.com/en/d/urbanway-15l?color=blue
JUNIOR MINIFY PACK 5L 1.0,https://www.eigeradventure.com/en/d/junior-minify-pack-5l-1-0?color=navy
JUNIOR MINIFY PACK 7L 1A,https://www.eigeradventure.com/en/d/jr-minify-pack-7l-1a?color=orange
CITYROUTE 10L,https://www.eigeradventure.com/en/d/cityroute-10l?color=grey
ARCH 18 JUNIOR SERIES,https://www.eigeradventure.com/en/d/arch-18-junior-series?color=sky+blue
X-VARSITY PACK 12L BS,https://www.eigeradventure.com/en/d/x-varsity-pack-12l-bs?color=black
JR MINIFY PACK 7L 1.0,https://www.eigeradventure.com/en/d/jr-minify-pack-7l-1-0?color=green
HIGHWAY 15L 2.0,https://www.eigeradventure.com/en/d/highway-15l-2-0?color=navy
CRUX 16 BASIC DAYPACK,https://www.eigeradventure.com/en/d/crux-16-basic-daypack?color=red
HILLWALK BACKPACK 12L,https://www.eigeradventure.com/en/d/hillwalk-backpack-12l?color=olive
ALCOVE 14 SHOE BAG,https://www.eigeradventure.com/en/d/alcove-14-shoe-bag?color=olive
RAFT 3.0 1A,https://www.eigeradventure.com/en/d/raft-3-0-1a?color=maroon
JASTER 20L PACK,https://www.eigeradventure.com/en/d/jaster-20l-pack?color=black
MACACA 18,https://www.eigeradventure.com/en/d/macaca-18?color=navy
WOMEN FLOR BACKPACK 15L,https://www.eigeradventure.com/en/d/ws-flor-backpack-15l?color=green
VERSAPACK WAIST PACK,https://www.eigeradventure.com/en/d/versapack-waist-pack?color=black
X-TOURCLASS BACKPACK 15L,https://www.eigeradventure.com/en/d/x-tourclass-backpack-15l?color=dark+green
TRIBUTE FOLDABLE PACK 15,https://www.eigeradventure.com/en/d/tribute-foldable-pack-15?color=green
Z RAFT 3.0 1A,https://www.eigeradventure.com/en/d/z-raft-3-0-1a?color=brown
RAFT 3.0 2A,https://www.eigeradventure.com/en/d/raft-3-0-2a?color=brown
ALCOVE 20,https://www.eigeradventure.com/en/d/alcove-20?color=black
WOMEN FLOR BACKPACK 18L,https://www.eigeradventure.com/en/d/ws-flor-backpack-18l?color=blue
MIGRATES PACK 15L,https://www.eigeradventure.com/en/d/migrates-pack-15l?color=green
JUNIOR FLYNN 5L,https://www.eigeradventure.com/en/d/jr-flynn-5l?color=navy
GHIBLI 1.0,https://www.eigeradventure.com/en/d/ghibli-1-0?color=medal+bronze
WOMEN KAUWELA DRAWSTRING BACKPACK,https://www.eigeradventure.com/en/d/ws-kauwela-drawstring-backpack?color=orange
FREEWAY 15L,https://www.eigeradventure.com/en/d/freeway-15l?color=olive
